"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FCGR2B",-1.05998074074074,9.08848416666667,-3.39829357093083,0.00134239376660961,0.0183171016981651,-1.20844579892758
"CDC20",0.725760582010583,6.260399375,3.39807717798101,0.00134325412453211,0.0183171016981651,-1.2090309300543
"IGF2R",-0.366737883597887,8.84129375,-3.36105132989074,0.00149843491874379,0.0200683248046043,-1.30881392941065
"IRF2",-0.300615714285717,8.41691604166667,-3.30526287443522,0.00176473279343335,0.0232201683346494,-1.45788424676618
"RICTOR",-0.34129021164021,9.16757854166667,-3.29021022230746,0.00184392342869019,0.0238035635062894,-1.4978389323612
"MXI1",-0.456870687830692,7.66604166666667,-3.28491962037253,0.0018725469958281,0.0238035635062894,-1.51185470059408
"CEP55",0.59669423280423,5.91568479166667,3.25259931967349,0.00205674441631824,0.025709305203978,-1.59716732482697
"CD163",-1.05983264550265,11.009139375,-3.23048034954031,0.00219253348367796,0.0269573788976798,-1.65524321697367
"CXCL16",-0.533207830687832,8.57565916666667,-3.20984433612899,0.00232681318118587,0.0281469336433774,-1.70919649961712
"SAMSN1",-0.716475132275132,8.5279675,-3.19217481910017,0.00244791830220307,0.0291418845500365,-1.75521676932475
"P4HA1",-0.564818888888887,8.36593604166667,-3.14660211198932,0.00278826357628559,0.0321338919441505,-1.87314860498137
"CD47",-0.42025047619048,10.5096195833333,-3.14273210253983,0.00281912988594558,0.0321338919441505,-1.88311225497051
"BNIP3L",-0.452559999999998,10.644235,-3.14165439367273,0.00282778249108524,0.0321338919441505,-1.88588547075186
"GLUL",-0.569687830687833,13.6775125,-3.10481666221949,0.00313900793341603,0.0351381485083884,-1.98030102228222
"JAG1",0.662574708994713,9.06580541666667,3.06801788892938,0.00348180544300858,0.0384022659155358,-2.0738778776565
"SMAD5",0.377464814814815,8.72436395833333,3.05334695951979,0.00362801673207157,0.0394349644790388,-2.11097686300445
"CD68",-0.786358412698414,10.5770129166667,-3.04508106618824,0.00371290869041192,0.0397026222507765,-2.13182649243251
"HK2",-0.735207354497353,8.67621729166667,-3.04071321300685,0.00375851490640684,0.0397026222507765,-2.14282844337874
"FPR3",-0.77122306878307,8.1241875,-3.03113181319981,0.00386040085082664,0.0402125088627775,-2.16692515124525
"BRD4",0.307780052910056,9.640664375,3.01738580136719,0.00401109327479384,0.0412098624122655,-2.20140567709628
"BRCA1",0.442691216931216,6.63105666666667,2.99613539519763,0.00425491695550013,0.0428608171652176,-2.25450044487645
