"ensembl_gene_rec","gene_name","d0_rc","d6_rc"
"ENSG00000007350.16","TKTL1",2,NA
"ENSG00000007372.22","PAX6",4,NA
"ENSG00000007376.7","RPUSD1",442,527
"ENSG00000007384.15","RHBDF1",982,1144
"ENSG00000007392.16","LUC7L",2049,1628
"ENSG00000007402.11","CACNA2D2",133,41
"ENSG00000007516.13","BAIAP3",704,235
"ENSG00000007520.3","TSR3",461,513
"ENSG00000007541.16","PIGQ",715,609
"ENSG00000007545.15","CRAMP1",972,702
"ENSG00000007866.20","TEAD3",1596,789
"ENSG00000007923.15","DNAJC11",942,1003
"ENSG00000007944.14","MYLIP",708,383
"ENSG00000007968.6","E2F2",83,119
"ENSG00000008018.8","PSMB1",1863,2629
"ENSG00000008056.13","SYN1",12,9
"ENSG00000008083.13","JARID2",686,505
"ENSG00000008086.11","CDKL5",190,144
"ENSG00000008118.9","CAMK1G",8,1
"ENSG00000008128.22","CDK11A",306,346
"ENSG00000008130.15","NADK",974,973
"ENSG00000008226.19","DLEC1",68,31
"ENSG00000008256.15","CYTH3",1219,1077
"ENSG00000008277.14","ADAM22",70,24
"ENSG00000008282.8","SYPL1",1947,1847
"ENSG00000008283.15","CYB561",2297,2346
"ENSG00000008294.20","SPAG9",1371,1454
"ENSG00000008300.16","CELSR3",357,322
"ENSG00000008311.14","AASS",157,41
"ENSG00000008323.15","PLEKHG6",412,292
"ENSG00000008324.11","SS18L2",113,136
"ENSG00000008382.15","MPND",153,108
"ENSG00000008394.12","MGST1",181,944
"ENSG00000008405.11","CRY1",896,1000
"ENSG00000008441.16","NFIX",558,304
"ENSG00000008513.15","ST3GAL1",1697,2736
"ENSG00000008516.16","MMP25",16,33
"ENSG00000008517.16","IL32",505,519
"ENSG00000008710.19","PKD1",2373,2049
"ENSG00000008735.13","MAPK8IP2",71,204
"ENSG00000008838.19","MED24",1138,986
"ENSG00000008853.16","RHOBTB2",1075,892
"ENSG00000008869.11","HEATR5B",997,971
"ENSG00000008952.16","SEC62",4261,3218
"ENSG00000008988.9","RPS20",9131,8942
"ENSG00000009307.15","CSDE1",39458,43230
"ENSG00000009335.17","UBE3C",1981,1780
"ENSG00000009413.15","REV3L",816,596
"ENSG00000009694.13","TENM1",13,2
"ENSG00000009724.16","MASP2",20,NA
"ENSG00000009780.15","FAM76A",189,158
"ENSG00000009790.14","TRAF3IP3",7,15
"ENSG00000009830.11","POMT2",343,395
"ENSG00000009844.15","VTA1",934,883
"ENSG00000009950.15","MLXIPL",290,277
"ENSG00000009954.10","BAZ1B",2283,2335
"ENSG00000010017.12","RANBP9",1001,939
"ENSG00000010030.13","ETV7",15,10
"ENSG00000010072.15","SPRTN",268,381
"ENSG00000010165.19","METTL13",860,932
"ENSG00000010219.13","DYRK4",58,91
"ENSG00000010244.18","ZNF207",3731,2845
"ENSG00000010256.10","UQCRC1",1043,1144
"ENSG00000010270.13","STARD3NL",660,759
"ENSG00000010278.13","CD9",7057,5447
"ENSG00000010282.14","HHATL",1,1
"ENSG00000010292.12","NCAPD2",1400,2103
"ENSG00000010295.19","IFFO1",25,38
"ENSG00000010310.8","GIPR",46,123
"ENSG00000010318.20","PHF7",20,28
"ENSG00000010319.6","SEMA3G",32,7
"ENSG00000010322.15","NISCH",1319,977
"ENSG00000010327.10","STAB1",652,178
"ENSG00000010361.13","FUZ",517,261
"ENSG00000010379.15","SLC6A13",15,1
"ENSG00000010404.17","IDS",1114,838
"ENSG00000010438.16","PRSS3",1,4
"ENSG00000010539.11","ZNF200",132,140
"ENSG00000010610.9","CD4",221,197
"ENSG00000010626.14","LRRC23",196,113
"ENSG00000010671.15","BTK",37,29
"ENSG00000010704.18","HFE",39,86
"ENSG00000010803.16","SCMH1",220,247
"ENSG00000010810.17","FYN",733,366
"ENSG00000010818.9","HIVEP2",2377,1127
"ENSG00000010932.16","FMO1",1,NA
"ENSG00000011007.12","ELOA",864,1039
"ENSG00000011009.10","LYPLA2",1309,1140
"ENSG00000011021.22","CLCN6",518,886
"ENSG00000011028.13","MRC2",226,262
"ENSG00000011052.21","NME1-NME2",11,10
"ENSG00000011105.13","TSPAN9",824,637
"ENSG00000011114.14","BTBD7",809,823
"ENSG00000011132.11","APBA3",145,137
"ENSG00000011143.16","MKS1",336,230
"ENSG00000011198.9","ABHD5",179,232
"ENSG00000011201.11","ANOS1",195,217
"ENSG00000011243.17","AKAP8L",1681,1625
"ENSG00000011258.15","MBTD1",1272,703
"ENSG00000011260.13","UTP18",501,538
"ENSG00000011275.18","RNF216",1081,980
"ENSG00000011295.15","TTC19",816,699
"ENSG00000011304.19","PTBP1",3275,2962
"ENSG00000011332.19","DPF1",33,24
"ENSG00000011347.9","SYT7",809,393
"ENSG00000011376.10","LARS2",200,235
"ENSG00000011405.13","PIK3C2A",1858,1922
"ENSG00000011422.11","PLAUR",882,645
"ENSG00000011426.10","ANLN",656,1841
"ENSG00000011451.19","WIZ",761,513
"ENSG00000011454.16","RABGAP1",1315,1560
"ENSG00000011465.16","DCN",95,13
"ENSG00000011478.11","QPCTL",152,219
"ENSG00000011485.14","PPP5C",1093,1045
"ENSG00000011523.13","CEP68",614,253
"ENSG00000011566.14","MAP4K3",1532,1120
"ENSG00000011600.11","TYROBP",236,128
"ENSG00000011638.10","TMEM159",257,397
"ENSG00000011677.12","GABRA3",2,1
"ENSG00000012048.21","BRCA1",190,346
"ENSG00000012061.15","ERCC1",551,466
"ENSG00000012124.16","CD22",525,80
"ENSG00000012171.19","SEMA3B",1308,1222
"ENSG00000012174.11","MBTPS2",212,266
"ENSG00000012211.12","PRICKLE3",188,234
"ENSG00000012223.12","LTF",5,7
"ENSG00000012232.8","EXTL3",1290,1595
"ENSG00000012660.13","ELOVL5",1324,2508
"ENSG00000012779.10","ALOX5",344,138
"ENSG00000012822.15","CALCOCO1",1731,823
"ENSG00000012963.14","UBR7",306,369
"ENSG00000012983.11","MAP4K5",839,672
"ENSG00000013016.15","EHD3",373,442
"ENSG00000013275.7","PSMC4",1066,1668
"ENSG00000013288.8","MAN2B2",539,451
"ENSG00000013293.5","SLC7A14",NA,1
"ENSG00000013297.11","CLDN11",42,16
"ENSG00000013306.15","SLC25A39",2399,3102
"ENSG00000013364.18","MVP",2380,2171
"ENSG00000013374.16","NUB1",673,511
"ENSG00000013375.15","PGM3",971,988
"ENSG00000013392.7","RWDD2A",152,152
"ENSG00000013441.15","CLK1",1330,1255
"ENSG00000013503.9","POLR3B",242,239
"ENSG00000013523.9","ANGEL1",416,428
"ENSG00000013561.17","RNF14",574,794
"ENSG00000013563.13","DNASE1L1",315,296
"ENSG00000013573.16","DDX11",510,963
"ENSG00000013583.9","HEBP1",313,422
"ENSG00000013588.8","GPRC5A",9537,11117
"ENSG00000013619.13","MAMLD1",116,147
"ENSG00000013725.14","CD6",32,15
"ENSG00000013810.18","TACC3",498,1346
"ENSG00000014123.9","UFL1",1301,1099
"ENSG00000014138.8","POLA2",65,117
"ENSG00000014164.6","ZC3H3",575,548
"ENSG00000014216.15","CAPN1",5018,5756
"ENSG00000014257.15","ACPP",51,20
"ENSG00000014641.17","MDH1",2109,2726
"ENSG00000014824.13","SLC30A9",1053,1209
"ENSG00000014914.20","MTMR11",438,243
"ENSG00000014919.12","COX15",450,533
"ENSG00000015133.18","CCDC88C",614,815
"ENSG00000015153.14","YAF2",221,279
"ENSG00000015171.19","ZMYND11",2224,1659
"ENSG00000015285.10","WAS",40,28
"ENSG00000015413.9","DPEP1",275,149
"ENSG00000015475.18","BID",357,277
"ENSG00000015479.18","MATR3",281,269
"ENSG00000015520.14","NPC1L1",4,1
"ENSG00000015532.9","XYLT2",510,741
"ENSG00000015568.12","RGPD5",5,6
"ENSG00000015592.16","STMN4",36,7
"ENSG00000015676.17","NUDCD3",1326,1234
"ENSG00000016082.14","ISL1",NA,1
"ENSG00000016391.10","CHDH",119,95
"ENSG00000016402.13","IL20RA",9,46
"ENSG00000016864.18","GLT8D1",418,243
"ENSG00000017260.19","ATP2C1",1448,1124
"ENSG00000017427.16","IGF1",480,11
"ENSG00000017483.14","SLC38A5",5,9
"ENSG00000017797.12","RALBP1",2340,1585
"ENSG00000018189.12","RUFY3",627,518
"ENSG00000018236.14","CNTN1",25,62
"ENSG00000018280.16","SLC11A1",231,12
"ENSG00000018408.14","WWTR1",675,582
"ENSG00000018510.14","AGPS",767,823
"ENSG00000018610.14","CXorf56",137,174
"ENSG00000018625.14","ATP1A2",15,6
"ENSG00000018699.12","TTC27",373,304
"ENSG00000018869.16","ZNF582",32,5
"ENSG00000019144.18","PHLDB1",1385,393
"ENSG00000019169.10","MARCO",639,26
"ENSG00000019186.9","CYP24A1",45,1
"ENSG00000019485.13","PRDM11",790,317
"ENSG00000019505.7","SYT13",566,420
"ENSG00000019549.11","SNAI2",9,5
"ENSG00000019582.14","CD74",1455,1877
"ENSG00000019991.16","HGF",6,NA
"ENSG00000019995.6","ZRANB1",1253,1205
"ENSG00000020129.15","NCDN",380,386
"ENSG00000020181.17","ADGRA2",41,33
"ENSG00000020256.19","ZFP64",454,478
"ENSG00000020426.10","MNAT1",287,277
"ENSG00000020577.13","SAMD4A",968,946
"ENSG00000020633.18","RUNX3",36,34
"ENSG00000020922.12","MRE11",662,417
"ENSG00000021300.13","PLEKHB1",366,331
"ENSG00000021355.12","SERPINB1",978,833
"ENSG00000021461.16","CYP3A43",1,NA
"ENSG00000021488.12","SLC7A9",4,4
"ENSG00000021574.12","SPAST",1031,697
"ENSG00000021645.18","NRXN3",82,32
"ENSG00000021762.19","OSBPL5",343,268
"ENSG00000021776.10","AQR",723,589
"ENSG00000021826.15","CPS1",204,22
"ENSG00000022267.16","FHL1",62,46
"ENSG00000022277.12","RTF2",2574,2732
"ENSG00000022556.15","NLRP2",1093,1276
"ENSG00000022567.9","SLC45A4",1525,1555
"ENSG00000022840.15","RNF10",3517,3981
"ENSG00000022976.15","ZNF839",143,215
"ENSG00000023041.11","ZDHHC6",581,627
"ENSG00000023171.17","GRAMD1B",54,130
"ENSG00000023191.16","RNH1",1608,1472
"ENSG00000023228.13","NDUFS1",2029,2642
"ENSG00000023287.12","RB1CC1",1749,1318
"ENSG00000023318.7","ERP44",1307,1242
"ENSG00000023330.14","ALAS1",398,948
"ENSG00000023445.13","BIRC3",124,531
"ENSG00000023516.8","AKAP11",955,881
"ENSG00000023572.9","GLRX2",205,275
"ENSG00000023608.4","SNAPC1",178,169
"ENSG00000023697.12","DERA",437,504
"ENSG00000023734.10","STRAP",2176,2747
"ENSG00000023839.11","ABCC2",14,8
"ENSG00000023892.10","DEF6",194,116
"ENSG00000023902.13","PLEKHO1",793,316
"ENSG00000023909.9","GCLM",197,825
"ENSG00000024048.10","UBR2",1161,894
"ENSG00000024422.11","EHD2",60,14
"ENSG00000024526.16","DEPDC1",151,399
"ENSG00000024862.17","CCDC28A",132,130
"ENSG00000025039.14","RRAGD",267,752
"ENSG00000025156.12","HSF2",321,317
"ENSG00000025293.16","PHF20",1443,1467
"ENSG00000025423.11","HSD17B6",6,7
"ENSG00000025434.18","NR1H3",177,272
"ENSG00000025708.13","TYMP",641,395
"ENSG00000025770.18","NCAPH2",353,290
"ENSG00000025772.7","TOMM34",1062,1163
"ENSG00000025796.13","SEC63",1611,1473
"ENSG00000025800.13","KPNA6",1504,1548
"ENSG00000026025.15","VIM",1653,1284
"ENSG00000026036.22","RTEL1-TNFRSF6B",182,240
"ENSG00000026103.21","FAS",189,352
"ENSG00000026297.15","RNASET2",1879,1123
"ENSG00000026508.18","CD44",411,1255
"ENSG00000026559.13","KCNG1",168,272
"ENSG00000026652.13","AGPAT4",628,369
"ENSG00000026751.16","SLAMF7",9,162
"ENSG00000026950.16","BTN3A1",551,389
"ENSG00000027001.9","MIPEP",316,270
"ENSG00000027075.14","PRKCH",174,272
"ENSG00000027644.4","INSRR",2,1
"ENSG00000027697.14","IFNGR1",1246,1034
"ENSG00000027847.13","B4GALT7",235,195
"ENSG00000027869.11","SH2D2A",36,168
"ENSG00000028116.17","VRK2",440,413
"ENSG00000028137.18","TNFRSF1B",217,226
"ENSG00000028203.17","VEZT",1376,1759
"ENSG00000028277.21","POU2F2",72,58
"ENSG00000028310.17","BRD9",1094,858
"ENSG00000028528.14","SNX1",1681,1626
"ENSG00000028839.9","TBPL1",439,319
"ENSG00000029153.14","ARNTL2",324,1037
"ENSG00000029363.16","BCLAF1",3429,2357
"ENSG00000029364.11","SLC39A9",949,1147
"ENSG00000029534.20","ANK1",119,115
"ENSG00000029559.6","IBSP",17,9
"ENSG00000029639.10","TFB1M",149,227
"ENSG00000029725.16","RABEP1",686,871
"ENSG00000029993.14","HMGB3",603,573
"ENSG00000030066.13","NUP160",1165,967
"ENSG00000030110.12","BAK1",987,1405
"ENSG00000030304.13","MUSK",1,NA
"ENSG00000030419.16","IKZF2",651,663
"ENSG00000030582.17","GRN",6170,5779
"ENSG00000031003.10","FAM13B",815,498
"ENSG00000031081.10","ARHGAP31",19,29
"ENSG00000031691.6","CENPQ",151,177
"ENSG00000031698.12","SARS",1392,1944
"ENSG00000031823.14","RANBP3",941,898
"ENSG00000032219.18","ARID4A",606,505
"ENSG00000032389.12","EIPR1",575,757
"ENSG00000032444.16","PNPLA6",2680,2463
"ENSG00000032742.17","IFT88",266,185
"ENSG00000033011.12","ALG1",361,390
"ENSG00000033030.13","ZCCHC8",874,989
"ENSG00000033050.8","ABCF2",336,331
"ENSG00000033100.16","CHPF2",1585,1051
"ENSG00000033122.18","LRRC7",12,3
"ENSG00000033170.16","FUT8",535,475
"ENSG00000033178.12","UBA6",853,1342
"ENSG00000033327.12","GAB2",2074,965
"ENSG00000033627.16","ATP6V0A1",836,1248
"ENSG00000033800.13","PIAS1",608,518
"ENSG00000033867.16","SLC4A7",515,537
"ENSG00000034053.14","APBA2",114,102
"ENSG00000034152.18","MAP2K3",898,1210
"ENSG00000034239.10","EFCAB1",56,16
"ENSG00000034510.5","TMSB10",15662,14445
"ENSG00000034533.11","ASTE1",98,94
"ENSG00000034677.12","RNF19A",2468,1294
"ENSG00000034693.14","PEX3",225,187
"ENSG00000034713.7","GABARAPL2",605,544
"ENSG00000035115.21","SH3YL1",1678,1387
"ENSG00000035141.7","FAM136A",1614,1525
"ENSG00000035403.17","VCL",6650,5659
"ENSG00000035499.12","DEPDC1B",83,426
"ENSG00000035664.11","DAPK2",54,36
"ENSG00000035681.8","NSMAF",474,532
"ENSG00000035687.9","ADSS",1792,1553
"ENSG00000035720.7","STAP1",1,1
"ENSG00000035862.12","TIMP2",4080,3376
"ENSG00000035928.15","RFC1",934,1036
"ENSG00000036054.12","TBC1D23",613,591
"ENSG00000036257.12","CUL3",1470,1385
"ENSG00000036448.9","MYOM2",4,NA
"ENSG00000036473.7","OTC",3,NA
"ENSG00000036530.8","CYP46A1",12,8
"ENSG00000036549.12","AC118549.1",768,723
"ENSG00000036672.15","USP2",122,30
"ENSG00000036828.16","CASR",3,NA
"ENSG00000037042.8","TUBG2",227,257
"ENSG00000037241.7","RPL26L1",200,177
"ENSG00000037280.15","FLT4",3,NA
"ENSG00000037474.14","NSUN2",1223,1326
"ENSG00000037637.10","FBXO42",532,510
"ENSG00000037749.12","MFAP3",361,283
"ENSG00000037757.13","MRI1",238,233
"ENSG00000037897.16","METTL1",226,153
"ENSG00000038002.8","AGA",121,126
"ENSG00000038210.12","PI4K2B",134,196
"ENSG00000038219.12","BOD1L1",1300,1013
"ENSG00000038274.16","MAT2B",879,778
"ENSG00000038295.7","TLL1",10,1
"ENSG00000038358.14","EDC4",835,700
"ENSG00000038382.19","TRIO",2800,2310
"ENSG00000038427.15","VCAN",324,4
"ENSG00000038532.15","CLEC16A",1263,788
"ENSG00000038945.14","MSR1",213,61
"ENSG00000039068.18","CDH1",5941,3601
"ENSG00000039123.15","MTREX",1055,1148
"ENSG00000039139.9","DNAH5",126,45
"ENSG00000039319.16","ZFYVE16",651,691
"ENSG00000039523.19","RIPOR1",1328,1684
"ENSG00000039560.13","RAI14",3275,3151
"ENSG00000039600.10","SOX30",1,4
"ENSG00000039650.11","PNKP",734,684
"ENSG00000039987.6","BEST2",1,NA
"ENSG00000040199.18","PHLPP2",268,244
"ENSG00000040275.16","SPDL1",234,384
"ENSG00000040341.17","STAU2",1203,1244
"ENSG00000040487.12","PQLC2",232,394
"ENSG00000040531.14","CTNS",262,399
"ENSG00000040608.13","RTN4R",114,136
"ENSG00000040633.12","PHF23",438,552
"ENSG00000040933.15","INPP4A",611,566
"ENSG00000041353.9","RAB27B",79,84
"ENSG00000041357.15","PSMA4",1386,2258
"ENSG00000041515.15","MYO16",10,11
"ENSG00000041802.10","LSG1",1725,1570
"ENSG00000041880.14","PARP3",182,115
"ENSG00000041982.15","TNC",435,2272
"ENSG00000041988.15","THAP3",134,197
"ENSG00000042062.11","RIPOR3",46,21
"ENSG00000042088.13","TDP1",320,336
"ENSG00000042286.14","AIFM2",455,1170
"ENSG00000042317.16","SPATA7",70,57
"ENSG00000042429.11","MED17",225,161
"ENSG00000042445.13","RETSAT",439,717
"ENSG00000042493.15","CAPG",2755,2639
"ENSG00000042753.11","AP2S1",686,985
"ENSG00000042781.12","USH2A",16,6
"ENSG00000042832.11","TG",205,31
"ENSG00000042980.12","ADAM28",1413,104
"ENSG00000043039.6","BARX2",408,151
"ENSG00000043093.13","DCUN1D1",1305,1292
"ENSG00000043143.20","JADE2",612,484
"ENSG00000043355.11","ZIC2",2,2
"ENSG00000043462.11","LCP2",74,51
"ENSG00000043514.16","TRIT1",206,209
"ENSG00000043591.5","ADRB1",12,6
"ENSG00000044090.8","CUL7",1994,1553
"ENSG00000044115.20","CTNNA1",6256,5485
"ENSG00000044446.11","PHKA2",602,319
"ENSG00000044459.14","CNTLN",130,87
"ENSG00000044524.10","EPHA3",3,4
"ENSG00000044574.7","HSPA5",16755,14095
"ENSG00000046604.12","DSG2",7337,4207
"ENSG00000046647.13","GEMIN8",90,46
"ENSG00000046651.14","OFD1",721,290
"ENSG00000046653.14","GPM6B",102,22
"ENSG00000046774.9","MAGEC2",1,1
"ENSG00000046889.18","PREX2",133,69
"ENSG00000047056.15","WDR37",700,877
"ENSG00000047188.15","YTHDC2",523,377
"ENSG00000047230.14","CTPS2",379,300
"ENSG00000047249.17","ATP6V1H",991,1455
"ENSG00000047315.15","POLR2B",2458,2480
"ENSG00000047346.12","FAM214A",524,284
"ENSG00000047365.11","ARAP2",447,383
"ENSG00000047410.13","TPR",4183,3180
"ENSG00000047457.13","CP",2867,576
"ENSG00000047578.12","KIAA0556",842,601
"ENSG00000047579.19","DTNBP1",256,282
"ENSG00000047597.6","XK",52,88
"ENSG00000047617.14","ANO2",26,2
"ENSG00000047621.11","C12orf4",332,340
"ENSG00000047634.14","SCML1",138,185
"ENSG00000047644.18","WWC3",576,520
"ENSG00000047662.4","FAM184B",28,33
"ENSG00000047849.21","MAP4",2051,2070
"ENSG00000047932.13","GOPC",1071,723
"ENSG00000047936.10","ROS1",4,NA
"ENSG00000048028.11","USP28",341,480
"ENSG00000048052.21","HDAC9",1438,2407
"ENSG00000048140.17","TSPAN17",1130,913
"ENSG00000048162.20","NOP16",269,311
"ENSG00000048342.15","CC2D2A",250,149
"ENSG00000048392.11","RRM2B",1614,1243
"ENSG00000048405.9","ZNF800",387,338
"ENSG00000048471.13","SNX29",362,241
"ENSG00000048540.14","LMO3",383,110
"ENSG00000048544.5","MRPS10",695,918
"ENSG00000048649.13","RSF1",1220,837
"ENSG00000048707.15","VPS13D",952,823
"ENSG00000048740.18","CELF2",440,419
"ENSG00000048828.16","FAM120A",2192,2120
"ENSG00000048991.16","R3HDM1",572,750
"ENSG00000049089.14","COL9A2",622,969
"ENSG00000049130.15","KITLG",23,11
"ENSG00000049167.14","ERCC8",100,127
"ENSG00000049192.14","ADAMTS6",27,22
"ENSG00000049239.12","H6PD",1666,993
"ENSG00000049245.12","VAMP3",1225,1123
"ENSG00000049246.14","PER3",518,534
"ENSG00000049247.13","UTS2",1,NA
"ENSG00000049249.8","TNFRSF9",17,70
"ENSG00000049283.17","EPN3",581,733
"ENSG00000049323.15","LTBP1",689,349
"ENSG00000049449.9","RCN1",2032,1991
"ENSG00000049540.16","ELN",73,143
"ENSG00000049541.10","RFC2",296,357
"ENSG00000049618.23","ARID1B",2335,1248
